kepid,kepoi_name,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_duration,koi_depth,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_impact,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec
4077901,"K02239.01","FALSE POSITIVE",12.1097626,0.0001031,-0.0001031,10.174,113.9,1.09,0.13,-0.12,681.0,50.68,0.981,28.20,5437.00,4.547,0.7390,296.428960,39.133759
5125347,"K02241.01","CONFIRMED",7.16520428,2.673e-05,-2.673e-05,1.705,433.8,2.31,0.74,-0.27,1034.0,270.34,0.142,17.60,6174.00,4.417,1.1030,298.084530,40.283249
9757613,"K00250.02","CONFIRMED",17.25121397,1.814e-05,-1.814e-05,2.0371,2054.8,2.64,0.15,-0.2,385.0,5.17,0.749,68.60,3879.00,4.708,0.5370,284.940980,46.566540
9336200,"K02242.01","CONFIRMED",1.755843555,4.915e-06,-4.915e-06,1.9425,386,1.94,0.44,-0.17,1343.0,771.02,0.893,25.10,5569.00,4.566,0.8290,289.147220,45.866180
4770617,"K02243.01","CONFIRMED",5.18560081,2.084e-05,-2.084e-05,4.054,252.6,2.34,0.47,-0.4,1314.0,705.79,0.012,27.60,6172.00,4.198,1.4710,297.477110,39.877239
7746958,"K02324.01","CANDIDATE",1.204686597,4.445e-06,-4.445e-06,0.823,233.2,1.55,0,0,1711.0,2026.81,0.328,10.80,5780.00,4.438,1.0000,289.677860,43.458134
7120108,"K02325.01","CONFIRMED",1.025857984,1.051e-06,-1.051e-06,0.8069,270.7,1.57,0.08,-0.1,1520.0,1264.70,0.779,36.00,5123.00,4.501,0.8470,292.513980,42.651760
10730703,"K02327.01","CONFIRMED",5.60013327,2.032e-05,-2.032e-05,2.6508,329.2,1.73,0.2,-0.22,952.0,194.26,0.046,22.80,5288.00,4.391,0.9780,291.657780,48.009312
8007644,"K02328.01","CONFIRMED",25.2034128,0.0001369,-0.0001369,4.515,697.1,2.42,0.67,-0.24,600.0,30.62,0.168,22.30,5831.00,4.517,0.9210,282.140560,43.896580
11192235,"K02329.01","CONFIRMED",1.615357809,2.324e-06,-2.324e-06,1.1435,499.6,1.37,0.09,-0.13,806.0,99.32,0.931,31.20,3821.00,4.755,0.4860,292.769930,48.899620
7021681,"K00255.02","CANDIDATE",13.6032081,0.0001832,-0.0001832,2.592,180.5,0.75,0.05,-0.06,397.0,5.85,0.777,9.40,3780.00,4.746,0.5110,287.858120,42.542629
8582291,"K02330.01","FALSE POSITIVE",2.4681015,1.408e-05,-1.408e-05,2.83,172.8,1.22,0.27,-0.15,1244.0,564.74,0.689,22.10,5516.00,4.466,0.8720,298.849790,44.615009
9654468,"K02417.01","CONFIRMED",47.7052566,0.0004697,-0.0004697,5.959,1161.5,2.89,0.12,-0.14,347.0,3.42,0.918,22.80,4551.00,4.609,0.6720,294.005430,46.310692
10027247,"K02418.01","CONFIRMED",86.829519,0.00129,-0.00129,7.464,751,1.68,0.12,-0.21,196.0,0.35,0.953,15.10,3576.00,4.791,0.4630,297.486690,46.996712
6343170,"K02419.01","CONFIRMED",9.95667035,5.854e-05,-5.854e-05,3.534,586.8,3.41,1.12,-0.48,946.0,189.48,0.949,16.80,6165.00,4.365,1.1150,283.264500,41.711449
